inspection_id,address,latitude,longitude,location,city,state,zip
2353211,4619 S Wolcott AVE,41.8096282,-87.6719638,"(41.8096282,-87.6719638)",CHICAGO,IL,60609
2355424,2009 S LAFIN ST,41.8548352,-87.6635321,"(41.8548352,-87.6635321)",CHICAGO,IL,60608
2369626,3355 S DR. MARTIN LUTHER KING DR,41.833293768956864,-87.6168573403182,"(41.833293768956864, -87.6168573403182)",CHICAGO,IL,60616
2359769,2218-2222 N WESTERN AVE,41.922312062185554,-87.68770889778496,"(41.922312062185554, -87.68770889778496)",CHICAGO,IL,60647
2352873,3625 S Hoyne,41.8276402,-87.6773181,"(41.8276402,-87.6773181)",CHICAGO,IL,60609
2352530,6657 S Kimbark AVE,41.7737472,-87.5940266,"(41.7737472,-87.5940266)",CHICAGO,IL,60637
2359813,2218-2222 N WESTERN AVE,41.922312062185554,-87.68770889778496,"(41.922312062185554, -87.68770889778496)",CHICAGO,IL,60647
2356198,2218-2222 N WESTERN AVE,41.922312062185554,-87.68770889778496,"(41.922312062185554, -87.68770889778496)",CHICAGO,IL,60647
2362300,2332 S Western,41.849557,-87.68695629999999,"(41.849557,-87.68695629999999)",CHICAGO,IL,60608
2352910,6657 S Kimbark AVE,41.7737472,-87.5940266,"(41.7737472,-87.5940266)",CHICAGO,IL,60637
2356554,6634 W RAVEN ST,41.9946144,-87.7926097,"(41.9946144,-87.7926097)",CHICAGO,IL,60631
2356319,5900 N Nina AVE,41.9890858,-87.8026557,"(41.9890858,-87.8026557)",CHICAGO,IL,60631
2355485,13100 S Doty,41.6755502,-87.6017907,"(41.6755502,-87.6017907)",CHICAGO,IL,60827
2359768,2218-2222 N WESTERN AVE,41.922312062185554,-87.68770889778496,"(41.922312062185554, -87.68770889778496)",CHICAGO,IL,60647
2355425,2009 S LAFIN ST,41.8548352,-87.6635321,"(41.8548352,-87.6635321)",CHICAGO,IL,60608
2356659,2218-2222 N WESTERN AVE,41.922312062185554,-87.68770889778496,"(41.922312062185554, -87.68770889778496)",CHICAGO,IL,60647
2346165,6650 S Ellis AVE,41.7742214,-87.6012716,"(41.7742214,-87.6012716)",CHICAGO,IL,60637
